q      	sum          	Hg-I_2       	H_1-I_2      	I_2-I_2      	I_1-I_2      	O-Hg         	O-I_1        	H_2-Hg       	C-I_1        	H_1-I_1      	H_1-H_1      	C-C          	O-O          	H_2-H_2      	C-H_2        	O-I_2        	C-H_1        	C-I_2        	Hg-I_1       	O-H_2        	Hg-Hg        	H_1-H_2      	H_2-I_1      	O-H_1        	O-C          	H_1-Hg       	I_1-I_1      	H_2-I_2      	C-Hg        
0.565 	34999.2     	4475.18     	-122.985    	2715.56     	63.4076     	-180.536    	-228.216    	-164.377    	-383.181    	-104.399    	-934.428    	3763.49     	9542.06     	366.072     	219.181     	-310.528    	187.668     	-441.447    	4475.18     	-64.7471    	6256.97     	-87.0741    	-65.5255    	3787.96     	630.455     	-128.045    	2715.56     	-76.6936    	-907.397    
0.575 	35006.4     	4394.58     	-113.38     	2712.37     	-16.8962    	-137.609    	-187.921    	-161.743    	-364.968    	-84.8485    	-907.612    	3755.9      	9602.51     	365.313     	218.442     	-290.152    	164.122     	-430.948    	4394.58     	-77.8834    	6252.21     	-94.1859    	-63.1928    	3857.93     	586.502     	-115.574    	2712.37     	-74.84      	-888.648    
0.585 	35017.7     	4313.45     	-104.935    	2709.13     	-94.22      	-109.599    	-160.094    	-158.757    	-347.912    	-71.2172    	-878.492    	3757.99     	9671.77     	364.586     	219.444     	-272.125    	141.306     	-421.712    	4313.45     	-90.3684    	6247.38     	-101.507    	-60.7884    	3935.82     	558.746     	-111.066    	2709.13     	-73.1238    	-868.625    
0.595 	35032.1     	4231.82     	-98.0367    	2705.85     	-168.481    	-96.2591    	-145.473    	-155.457    	-332.403    	-63.8029    	-846.805    	3769.22     	9750.87     	363.895     	222.225     	-257.198    	119.462     	-413.72     	4231.82     	-102.188    	6242.47     	-109.01     	-58.3472    	4022.8      	546.469     	-114.233    	2705.85     	-71.533     	-847.683    
0.605 	35049.2     	4149.74     	-93.0426    	2702.52     	-239.605    	-96.5692    	-144.09     	-151.893    	-318.768    	-62.5522    	-812.373    	3788.59     	9840.51     	363.237     	226.724     	-246.077    	98.7555     	-406.883    	4149.74     	-113.39     	6237.49     	-116.673    	-55.9089    	4119.76     	548.055     	-124.381    	2702.52     	-70.0441    	-826.205    
0.615 	35068.4     	4067.23     	-90.2672    	2699.15     	-307.523    	-108.825    	-155.302    	-148.126    	-307.255    	-67.0765    	-775.11     	3814.64     	9941.08     	362.612     	232.79      	-239.389    	79.2733     	-401.051    	4067.23     	-124.078    	6232.44     	-124.48     	-53.5169    	4227.31     	561.133     	-140.459    	2699.15     	-68.6245    	-804.583    
0.625 	35089.4     	3984.35     	-89.9648    	2695.73     	-372.175    	-130.752    	-177.838    	-144.222    	-298.031    	-76.6841    	-735.02     	3845.63     	10052.6     	362.012     	240.191     	-237.649    	61.025      	-396.023    	3984.35     	-134.406    	6227.32     	-132.419    	-51.2166    	4345.7      	582.742     	-161.132    	2695.73     	-67.2338    	-783.2      
0.635 	35112.5     	3901.12     	-92.3157    	2692.27     	-433.51     	-159.648    	-209.892    	-140.25     	-291.173    	-90.4286    	-692.195    	3879.56     	10175       	361.432     	248.636     	-241.233    	43.9501     	-391.559    	3901.12     	-144.565    	6222.12     	-140.485    	-49.0532    	4474.91     	609.54      	-184.867    	2692.27     	-65.8272    	-762.405    
0.645 	35137.9     	3817.58     	-97.4136    	2688.77     	-491.482    	-192.544    	-249.234    	-136.281    	-286.67     	-107.168    	-646.805    	3914.38     	10307.6     	360.863     	257.789     	-250.353    	27.9272     	-387.396    	3817.58     	-154.773    	6216.86     	-148.676    	-47.0705    	4614.59     	638.008     	-210.021    	2688.77     	-64.358     	-742.504    
0.655 	35166.7     	3733.78     	-105.257    	2685.22     	-546.055    	-226.378    	-293.334    	-132.381    	-284.427    	-125.634    	-599.092    	3948.06     	10449.8     	360.294     	267.294     	-265.041    	12.7862     	-383.264    	3733.78     	-165.258    	6211.52     	-156.992    	-45.3083    	4764.17     	664.673     	-234.943    	2685.22     	-62.7805    	-723.74     
